,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
282,                Wisconsin (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208488.0,1203154.0,1198158.0,1192880.0,1190042.0,1185425.0,1181503.0,1180850.0,1180911.0,1180828.0,1178287.0,1171119.0,1164990.0,1158722.0,1152364.0,1145466.0,1137494.0,1132554.0,1127148.0,1120153.0,1110005.0,
283,                Wyoming (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111814.0,109427.0,109004.0,108137.0,108531.0,108939.0,110141.0,113201.0,116219.0,119791.0,120653.0,120972.0,122244.0,123331.0,123871.0,125031.0,124242.0,121737.0,120280.0,118959.0,118177.0,
284,    Race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,        White (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194713000.0,196634941.0,198037360.0,199420087.0,200707727.0,202031343.0,203429819.0,204770146.0,206129014.0,207539903.0,209366661.0,211606011.0,213945622.0,216187073.0,218304774.0,220384783.0,222420050.0,224553464.0,226648119.0,228687790.0,228530479.0,230049196.0,231446915.0,232717191.0,234120447.0,235491577.0,236954818.0,238378087.0,239783014.0,241034399.0,242228437.0,243254994.0,244285201.0,245205423.0,246211962.0,247206396.0,248203472.0,248992525.0,249604563.0,250065098.0,250309724.0,
286,        Black (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26683000.0,27133356.0,27508316.0,27867416.0,28212477.0,28568658.0,28941763.0,29324578.0,29722999.0,30143449.0,30648345.0,31290743.0,31979982.0,32634735.0,33258981.0,33847306.0,34415478.0,35007679.0,35594140.0,36173121.0,35814706.0,36263029.0,36684650.0,37066096.0,37510582.0,37961688.0,38443048.0,38935533.0,39429414.0,39902270.0,40358477.0,40798772.0,41252211.0,41690498.0,42140856.0,42595215.0,43041456.0,43465421.0,43857361.0,44224356.0,44531112.0,
287,        Asian or Pacific Islander (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729000.0,4213992.0,4581276.0,4908787.0,5249129.0,5606129.0,5978210.0,6343072.0,6723845.0,7134492.0,7549082.0,7957219.0,8386444.0,8814728.0,9200988.0,9604552.0,10023883.0,10459307.0,10885809.0,11346496.0,11173178.0,11669880.0,12156530.0,12625915.0,13090057.0,13576467.0,14066685.0,14547694.0,15030973.0,15491716.0,15945158.0,16442985.0,16956220.0,17481999.0,18045842.0,18637896.0,19213550.0,19744642.0,20157202.0,20534820.0,20855971.0,
288,            By group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,                Asian (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10705839.0,11182404.0,11649265.0,12099525.0,12542740.0,13007663.0,13475846.0,13934641.0,14395296.0,14833733.0,15266718.0,15748519.0,16245413.0,16754334.0,17302485.0,17877492.0,18435167.0,18948310.0,19343982.0,19705760.0,20012278.0,
290,                Native Hawaiian or other Pacific Islander (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467339.0,487476.0,507265.0,526390.0,547317.0,568804.0,590839.0,613053.0,635677.0,657983.0,678440.0,694466.0,710807.0,727665.0,743357.0,760404.0,778383.0,796332.0,813220.0,829060.0,843693.0,
291,        American Indian or Alaska Native (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420000.0,1483027.0,1537259.0,1595947.0,1655707.0,1717908.0,1783256.0,1851250.0,1923182.0,2001351.0,2058726.0,2126968.0,2202176.0,2282052.0,2361078.0,2441752.0,2534873.0,2626475.0,2726036.0,2832761.0,2684491.0,2769731.0,2857113.0,2947575.0,3044517.0,3147772.0,3258666.0,3377213.0,3504878.0,3636766.0,3753179.0,3806563.0,3863383.0,3917329.0,3972480.0,4028249.0,4083901.0,4138345.0,4192206.0,4243909.0,4292990.0,
292,        Two or more races (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959557.0,4217119.0,4479985.0,4751156.0,5039695.0,5339095.0,5656695.0,5992680.0,6345687.0,6706378.0,7041892.0,7280167.0,7520647.0,7764698.0,8015189.0,8271238.0,8529376.0,8781195.0,9026867.0,9261770.0,9494326.0,
293,    Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,        Hispanic (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14609000.0,15560309.0,16239562.0,16935469.0,17640121.0,18367986.0,19154577.0,19946199.0,20786556.0,21648268.0,22572838.0,23554990.0,24619345.0,25776661.0,26945933.0,28157801.0,29463458.0,30895896.0,32382865.0,33937795.0,35661885.0,37144096.0,38617620.0,40049429.0,41501375.0,43023614.0,44606305.0,46196853.0,47793785.0,49327489.0,50736244.0,51824758.0,52869228.0,53906810.0,54978578.0,56118159.0,57285487.0,58402829.0,59468833.0,60404487.0,61312879.0,
295,        Not Hispanic (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212615681.0,213905405.0,215424896.0,216856525.0,218184781.0,219555809.0,220978310.0,222342719.0,223712426.0,225170962.0,226897701.0,229425951.0,231894879.0,234141927.0,236179888.0,238120592.0,239930826.0,241751029.0,243471239.0,245102373.0,246500526.0,247824859.0,249007573.0,250058504.0,251303923.0,252492985.0,253773607.0,255034354.0,256300181.0,257444040.0,258590899.0,259758723.0,261008434.0,262153137.0,263407751.0,264620835.0,265786268.0,266719299.0,267369366.0,267925466.0,268171244.0,
296,    Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,        Hispanic (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14609000.0,15560309.0,16239562.0,16935469.0,17640121.0,18367986.0,19154577.0,19946199.0,20786556.0,21648268.0,22572838.0,23554990.0,24619345.0,25776661.0,26945933.0,28157801.0,29463458.0,30895896.0,32382865.0,33937795.0,35661885.0,37144096.0,38617620.0,40049429.0,41501375.0,43023614.0,44606305.0,46196853.0,47793785.0,49327489.0,50736244.0,51824758.0,52869228.0,53906810.0,54978578.0,56118159.0,57285487.0,58402829.0,59468833.0,60404487.0,61312879.0,
298,"        White, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181974435.0,182781655.0,183561138.0,184242853.0,184945003.0,185677726.0,186352800.0,187011730.0,187712384.0,188725372.0,190017764.0,191335711.0,192470910.0,193468650.0,194388780.0,195173744.0,195934009.0,196603242.0,197154118.0,195701752.0,195974813.0,196140540.0,196232760.0,196461761.0,196620983.0,196832697.0,197011394.0,197183535.0,197274549.0,197392642.0,197504923.0,197670733.0,197733488.0,197853958.0,197901644.0,197927872.0,197798321.0,197545931.0,197255617.0,196773390.0,
299,"        Black, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26532114.0,26856062.0,27158852.0,27444460.0,27737907.0,28040272.0,28350939.0,28669163.0,29005206.0,29439192.0,30057660.0,30719969.0,31344132.0,31940211.0,32500056.0,33042160.0,33607186.0,34168672.0,34722236.0,34405800.0,34780280.0,35130061.0,35438251.0,35797599.0,36147348.0,36520961.0,36905758.0,37290709.0,37656592.0,38014561.0,38383977.0,38763472.0,39127242.0,39501310.0,39877721.0,40245438.0,40588705.0,40898768.0,41192127.0,41427341.0,
300,"        Asian or Pacific Islander, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7092269.0,7509679.0,7947196.0,8382347.0,8776213.0,9187551.0,9614039.0,10056689.0,10489983.0,10957343.0,10838983.0,11309135.0,11768587.0,12209073.0,12641171.0,13092024.0,13545366.0,13987653.0,14430437.0,14849062.0,15265674.0,15746000.0,16240995.0,16748296.0,17293432.0,17865212.0,18419853.0,18930019.0,19322002.0,19679254.0,19980704.0,
301,            By group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,"                Asian, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10468759.0,10925853.0,11372498.0,11801041.0,12219990.0,12657844.0,13097737.0,13526680.0,13955911.0,14361474.0,14765670.0,15234543.0,15718071.0,16213308.0,16747613.0,17307706.0,17849879.0,18347679.0,18728396.0,19075130.0,19367197.0,
303,"                Native Hawaiian or other Pacific Islander, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370224.0,383282.0,396089.0,408032.0,421181.0,434180.0,447629.0,460973.0,474526.0,487588.0,500004.0,511457.0,522924.0,534988.0,545819.0,557506.0,569974.0,582340.0,593606.0,604124.0,613507.0,
304,"        American Indian and Alaska Native, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793143.0,1840848.0,1892003.0,1944538.0,1994814.0,2044205.0,2100883.0,2153145.0,2209342.0,2268676.0,2101969.0,2119929.0,2136918.0,2152127.0,2169359.0,2186123.0,2203091.0,2220301.0,2237304.0,2252408.0,2268551.0,2288452.0,2309226.0,2329003.0,2348426.0,2366277.0,2383244.0,2398059.0,2410262.0,2422370.0,2432338.0,
305,"        Two or more races, non-Hispanic (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452022.0,3640702.0,3831467.0,4026293.0,4234033.0,4446507.0,4671492.0,4909248.0,5158196.0,5411429.0,5649471.0,5835371.0,6024008.0,6215108.0,6410625.0,6609981.0,6809861.0,7004195.0,7192403.0,7376098.0,7557471.0,
306,    By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,        Alabama (People),1830000,1907000,1935000,1957000,1978000,2012000,2045000,2058000.0,2070000.0,2108000.0,2150000.0,2185000.0,2217000.0,2279000.0,2336000.0,2345000.0,2359000.0,2361000.0,2343000.0,2337000.0,2359000.0,2402000.0,2434000.0,2464000.0,2501000.0,2534000.0,2567000.0,2609000.0,2640000.0,2644000.0,2647000.0,2649000.0,2653000.0,2661000.0,2685000.0,2719000.0,2743000.0,2762000.0,2787000.0,2814000.0,2845000.0,2902000.0,2941000.0,2902000.0,2802000.0,2775000.0,2911000.0,2942000.0,2969000.0,3000000.0,3058000.0,3059000.0,3068000.0,3053000.0,3014000.0,3050000.0,3071000.0,3109000.0,3163000.0,3204000.0,3274000.0,3316000.0,3323000.0,3358000.0,3395000.0,3443000.0,3464000.0,3458000.0,3446000.0,3440000.0,3444354.0,3497076.0,3539400.0,3579780.0,3626499.0,3678814.0,3735139.0,3780403.0,3831836.0,3866248.0,3893888.0,3918531.0,3925266.0,3934102.0,3951820.0,3972523.0,3991569.0,4015264.0,4023844.0,4030222.0,4050055.0,4099156.0,4154014.0,4214202.0,4260229.0,4296800.0,4331102.0,4367935.0,4404701.0,4430141.0,4452173.0,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,4785514.0,4799642.0,4816632.0,4831586.0,4843737.0,4854803.0,4866824.0,4877989.0,4891628.0,4907965.0,4921532.0,
308,        Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000.0,158000.0,189000.0,205000.0,215000.0,222000.0,224000.0,231000.0,224000.0,224000.0,229000.0,238000.0,246000.0,256000.0,263000.0,271000.0,271000.0,278000.0,285000.0,296000.0,302583.0,315510.0,324464.0,330543.0,341063.0,376170.0,400969.0,403436.0,404766.0,402753.0,401851.0,418491.0,449606.0,488417.0,513702.0,532495.0,544268.0,539309.0,541983.0,547159.0,553290.0,570193.0,588736.0,599432.0,603308.0,604412.0,608569.0,612968.0,619932.0,624779.0,627963.0,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,713982.0,722349.0,730810.0,737626.0,737075.0,738430.0,742575.0,740983.0,736624.0,733603.0,731158.0,
309,        Arizona (People),124000,131000,138000,144000,151000,158000,167000,176000.0,186000.0,196000.0,206000.0,212000.0,217000.0,236000.0,253000.0,263000.0,282000.0,311000.0,320000.0,329000.0,340000.0,351000.0,360000.0,371000.0,382000.0,393000.0,403000.0,414000.0,422000.0,430000.0,434000.0,429000.0,426000.0,426000.0,428000.0,434000.0,443000.0,453000.0,466000.0,484000.0,499000.0,490000.0,524000.0,692000.0,610000.0,594000.0,616000.0,653000.0,690000.0,714000.0,756000.0,785000.0,842000.0,894000.0,933000.0,987000.0,1053000.0,1125000.0,1193000.0,1261000.0,1321000.0,1407000.0,1471000.0,1521000.0,1556000.0,1584000.0,1614000.0,1646000.0,1682000.0,1737000.0,1775399.0,1895814.0,2008291.0,2124438.0,2223196.0,2284847.0,2346157.0,2425197.0,2515316.0,2635571.0,2718215.0,2810107.0,2889861.0,2968925.0,3067135.0,3183538.0,3308262.0,3437103.0,3535183.0,3622185.0,3684097.0,3788576.0,3915740.0,4065440.0,4245089.0,4432499.0,4586940.0,4736990.0,4883342.0,5023823.0,5160586.0,5273477.0,5396255.0,5510364.0,5652404.0,5839077.0,6029141.0,6167681.0,6280362.0,6343154.0,6407342.0,6473416.0,6556344.0,6634690.0,6732873.0,6832810.0,6944767.0,7048088.0,7164228.0,7291843.0,7421401.0,
310,        Arkansas (People),1314000,1341000,1360000,1384000,1419000,1447000,1465000,1484000.0,1513000.0,1545000.0,1583000.0,1610000.0,1636000.0,1664000.0,1688000.0,1702000.0,1719000.0,1737000.0,1749000.0,1742000.0,1756000.0,1769000.0,1772000.0,1784000.0,1800000.0,1812000.0,1826000.0,1840000.0,1847000.0,1852000.0,1859000.0,1848000.0,1836000.0,1854000.0,1878000.0,1890000.0,1892000.0,1903000.0,1928000.0,1948000.0,1955000.0,1969000.0,1977000.0,1843000.0,1768000.0,1762000.0,1797000.0,1836000.0,1825000.0,1844000.0,1908000.0,1901000.0,1838000.0,1780000.0,1734000.0,1725000.0,1704000.0,1733000.0,1726000.0,1756000.0,1789000.0,1806000.0,1853000.0,1875000.0,1897000.0,1894000.0,1899000.0,1901000.0,1902000.0,1913000.0,1923322.0,1972312.0,2018638.0,2059256.0,2101403.0,2159526.0,2170161.0,2209010.0,2243127.0,2271333.0,2286435.0,2293201.0,2294257.0,2305761.0,2319768.0,2327046.0,2331984.0,2342355.0,2342656.0,2346358.0,2356586.0,2383144.0,2415984.0,2456303.0,2494019.0,2535399.0,2572109.0,2601090.0,2626289.0,2651860.0,2678588.0,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,2921998.0,2941038.0,2952876.0,2960459.0,2968759.0,2979732.0,2991815.0,3003855.0,3012161.0,3020985.0,3030522.0,
311,        California (People),1490000,1550000,1623000,1702000,1792000,1893000,1976000,2054000.0,2161000.0,2282000.0,2406000.0,2534000.0,2668000.0,2811000.0,2934000.0,3008000.0,3071000.0,3171000.0,3262000.0,3339000.0,3554000.0,3795000.0,3991000.0,4270000.0,4541000.0,4730000.0,4929000.0,5147000.0,5344000.0,5531000.0,5711000.0,5824000.0,5894000.0,5963000.0,6060000.0,6175000.0,6341000.0,6528000.0,6656000.0,6785000.0,6950000.0,7237000.0,7735000.0,8506000.0,8945000.0,9344000.0,9559000.0,9832000.0,10064000.0,10337000.0,10677000.0,11134000.0,11635000.0,12251000.0,12746000.0,13133000.0,13713000.0,14264000.0,14880000.0,15467000.0,15870000.0,16497000.0,17072000.0,17668000.0,18151000.0,18585000.0,18858000.0,19176000.0,19394000.0,19711000.0,19971069.0,20345939.0,20585469.0,20868728.0,21173865.0,21537849.0,21935909.0,22352396.0,22835958.0,23256880.0,23667902.0,24285933.0,24820009.0,25360026.0,25844393.0,26441109.0,27102237.0,27777158.0,28464249.0,29218164.0,29959515.0,30470736.0,30974659.0,31274928.0,31484435.0,31696582.0,32018834.0,32486010.0,32987675.0,33499204.0,33987977.0,34479458.0,34871843.0,35253159.0,35574576.0,35827943.0,36021202.0,36250311.0,36604337.0,36961229.0,37319550.0,37636311.0,37944551.0,38253768.0,38586706.0,38904296.0,39149186.0,39337785.0,39437463.0,39437610.0,39368078.0,
312,        Colorado (People),543000,581000,621000,652000,659000,680000,707000,733000.0,757000.0,775000.0,804000.0,821000.0,832000.0,835000.0,846000.0,868000.0,892000.0,910000.0,906000.0,938000.0,937000.0,961000.0,965000.0,984000.0,1014000.0,1019000.0,1016000.0,1028000.0,1014000.0,1008000.0,1040000.0,1056000.0,1066000.0,1071000.0,1075000.0,1078000.0,1090000.0,1104000.0,1112000.0,1120000.0,1130000.0,1124000.0,1113000.0,1153000.0,1137000.0,1116000.0,1203000.0,1237000.0,1263000.0,1295000.0,1325000.0,1326000.0,1365000.0,1431000.0,1493000.0,1546000.0,1625000.0,1664000.0,1667000.0,1710000.0,1769000.0,1844000.0,1899000.0,1936000.0,1970000.0,1985000.0,2007000.0,2053000.0,2120000.0,2166000.0,2209596.0,2303524.0,2404619.0,2495868.0,2541406.0,2586192.0,2632306.0,2696140.0,2766748.0,2849234.0,2889964.0,2977898.0,3061564.0,3133630.0,3169992.0,3208723.0,3237450.0,3260480.0,3262281.0,3275818.0,3307618.0,3387119.0,3495939.0,3613734.0,3724168.0,3826653.0,3919972.0,4018293.0,4116639.0,4226018.0,4326921.0,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,5047539.0,5121900.0,5193660.0,5270774.0,5352637.0,5454328.0,5543844.0,5617421.0,5697155.0,5758486.0,5807719.0,
313,        Connecticut (People),910000,931000,952000,972000,987000,1010000,1033000,1057000.0,1077000.0,1097000.0,1122000.0,1149000.0,1176000.0,1208000.0,1233000.0,1258000.0,1294000.0,1327000.0,1329000.0,1359000.0,1391000.0,1415000.0,1431000.0,1455000.0,1481000.0,1506000.0,1531000.0,1557000.0,1577000.0,1594000.0,1613000.0,1628000.0,1637000.0,1642000.0,1650000.0,1666000.0,1672000.0,1678000.0,1684000.0,1696000.0,1708000.0,1746000.0,1792000.0,1792000.0,1778000.0,1769000.0,1906000.0,1967000.0,2014000.0,2032000.0,2016000.0,2028000.0,2081000.0,2168000.0,2249000.0,2300000.0,2316000.0,2359000.0,2446000.0,2523000.0,2544000.0,2586000.0,2647000.0,2727000.0,2798000.0,2857000.0,2903000.0,2935000.0,2964000.0,3000000.0,3032217.0,3060938.0,3068699.0,3067814.0,3074047.0,3082500.0,3083335.0,3085722.0,3091627.0,3095917.0,3107576.0,3128836.0,3139013.0,3162354.0,3180014.0,3201131.0,3223740.0,3247291.0,3271953.0,3283403.0,3291967.0,3302895.0,3300712.0,3309175.0,3316121.0,3324144.0,3336685.0,3349348.0,3365352.0,3386401.0,3411777.0,3432835.0,3458749.0,3484336.0,3496094.0,3506956.0,3517460.0,3527270.0,3545579.0,3561807.0,3579173.0,3588632.0,3595211.0,3595792.0,3595697.0,3588561.0,3579830.0,3575324.0,3574561.0,3566022.0,3557006.0,
314,        Delaware (People),185000,187000,188000,190000,192000,194000,196000,197000.0,199000.0,201000.0,203000.0,207000.0,209000.0,213000.0,216000.0,217000.0,219000.0,222000.0,220000.0,221000.0,219000.0,216000.0,214000.0,215000.0,219000.0,222000.0,225000.0,229000.0,233000.0,236000.0,239000.0,242000.0,245000.0,248000.0,250000.0,252000.0,253000.0,254000.0,257000.0,263000.0,269000.0,275000.0,279000.0,282000.0,285000.0,286000.0,299000.0,305000.0,312000.0,316000.0,321000.0,331000.0,341000.0,351000.0,368000.0,389000.0,408000.0,426000.0,433000.0,441000.0,449000.0,461000.0,469000.0,483000.0,497000.0,507000.0,516000.0,525000.0,534000.0,540000.0,548104.0,564708.0,572913.0,577759.0,581418.0,586589.0,590166.0,591829.0,594776.0,594984.0,594338.0,595975.0,599148.0,605458.0,611565.0,618280.0,627559.0,636947.0,647622.0,658273.0,669567.0,683080.0,694925.0,706378.0,717545.0,729734.0,740977.0,751487.0,763335.0,774990.0,786373.0,795699.0,806169.0,818003.0,830803.0,845150.0,859268.0,871749.0,883874.0,891730.0,899647.0,907590.0,915518.0,924062.0,933131.0,942065.0,949989.0,957942.0,966985.0,976668.0,986809.0,
315,        District of Columbia (People),278000,285000,290000,295000,302000,308000,313000,317000.0,321000.0,327000.0,334000.0,344000.0,340000.0,358000.0,368000.0,361000.0,360000.0,385000.0,418000.0,445000.0,440000.0,446000.0,450000.0,453000.0,456000.0,461000.0,469000.0,476000.0,479000.0,483000.0,488000.0,504000.0,513000.0,529000.0,568000.0,608000.0,629000.0,616000.0,638000.0,658000.0,690000.0,764000.0,851000.0,900000.0,881000.0,876000.0,899000.0,888000.0,840000.0,807000.0,806000.0,808000.0,805000.0,810000.0,791000.0,785000.0,759000.0,763000.0,757000.0,761000.0,765000.0,778000.0,788000.0,798000.0,798000.0,797000.0,791000.0,791000.0,778000.0,762000.0,756668.0,749781.0,742241.0,731488.0,717947.0,706871.0,692295.0,677228.0,665052.0,650016.0,638333.0,636893.0,634174.0,632433.0,633382.0,634549.0,638269.0,636930.0,630432.0,624168.0,605321.0,600870.0,597565.0,595301.0,589239.0,580517.0,572377.0,567736.0,565230.0,570213.0,572046.0,574504.0,573158.0,568502.0,567754.0,567136.0,570681.0,574404.0,580236.0,592228.0,605282.0,620290.0,635737.0,651559.0,663603.0,677014.0,687576.0,697079.0,704147.0,708253.0,712816.0,
316,        Florida (People),530000,544000,565000,587000,599000,615000,628000,645000.0,684000.0,724000.0,756000.0,773000.0,801000.0,828000.0,871000.0,922000.0,924000.0,895000.0,865000.0,898000.0,962000.0,997000.0,1044000.0,1097000.0,1160000.0,1264000.0,1368000.0,1418000.0,1433000.0,1445000.0,1471000.0,1493000.0,1521000.0,1552000.0,1585000.0,1613000.0,1651000.0,1709000.0,1771000.0,1836000.0,1915000.0,2017000.0,2151000.0,2451000.0,2420000.0,2465000.0,2440000.0,2528000.0,2578000.0,2668000.0,2810000.0,2980000.0,3157000.0,3310000.0,3505000.0,3747000.0,4047000.0,4372000.0,4630000.0,4808000.0,5004000.0,5243000.0,5458000.0,5628000.0,5781000.0,5954000.0,6104000.0,6242000.0,6433000.0,6641000.0,6791418.0,7158304.0,7511463.0,7913696.0,8298762.0,8518422.0,8667379.0,8856183.0,9102032.0,9426159.0,9746324.0,10192774.0,10471407.0,10749851.0,11039925.0,11351118.0,11667505.0,11997283.0,12306395.0,12637715.0,13033307.0,13369798.0,13650553.0,13927185.0,14239444.0,14537875.0,14853360.0,15186304.0,15486559.0,15759421.0,16047515.0,16356966.0,16689370.0,17004085.0,17415318.0,17842038.0,18166990.0,18367842.0,18527305.0,18652644.0,18846143.0,19055607.0,19302016.0,19551678.0,19853880.0,20219111.0,20627237.0,20977089.0,21254926.0,21492056.0,21733312.0,
317,        Georgia (People),2220000,2263000,2305000,2346000,2387000,2427000,2466000,2505000.0,2543000.0,2580000.0,2618000.0,2644000.0,2676000.0,2733000.0,2776000.0,2810000.0,2856000.0,2885000.0,2941000.0,2870000.0,2926000.0,2965000.0,2965000.0,2954000.0,2920000.0,2883000.0,2869000.0,2891000.0,2903000.0,2903000.0,2910000.0,2924000.0,2935000.0,2950000.0,2964000.0,2955000.0,2978000.0,3037000.0,3091000.0,3120000.0,3119000.0,3179000.0,3209000.0,3245000.0,3176000.0,3119000.0,3242000.0,3272000.0,3259000.0,3325000.0,3458000.0,3531000.0,3584000.0,3558000.0,3602000.0,3636000.0,3701000.0,3766000.0,3804000.0,3868000.0,3956000.0,4015000.0,4086000.0,4172000.0,4258000.0,4332000.0,4379000.0,4408000.0,4482000.0,4551000.0,4587930.0,4711550.0,4809490.0,4910374.0,4999419.0,5064075.0,5132812.0,5219697.0,5295751.0,5401384.0,5463105.0,5568345.0,5649792.0,5728250.0,5834954.0,5962661.0,6084666.0,6208467.0,6316142.0,6411099.0,6512602.0,6653005.0,6817203.0,6978240.0,7157165.0,7328413.0,7501069.0,7685099.0,7863536.0,8045965.0,8227303.0,8377038.0,8508256.0,8622793.0,8769252.0,8925922.0,9155813.0,9349988.0,9504843.0,9620846.0,9712209.0,9803630.0,9903580.0,9975592.0,10071204.0,10183353.0,10308442.0,10417031.0,10519389.0,10628020.0,10710017.0,
